Date,Time,Open,High,Low,Close,Volume
2015.08.07,07:05,1.55165,1.55223,1.55162,1.55223,124
2015.08.07,07:10,1.55222,1.55230,1.55203,1.55218,145
2015.08.07,07:15,1.55218,1.55222,1.55201,1.55203,132
2015.08.07,07:20,1.55203,1.55211,1.55192,1.55192,109
2015.08.07,07:25,1.55194,1.55195,1.55133,1.55133,181
2015.08.07,07:30,1.55135,1.55144,1.55119,1.55144,85
2015.08.07,07:35,1.55144,1.55161,1.55133,1.55159,154
2015.08.07,07:40,1.55161,1.55162,1.55143,1.55148,234
2015.08.07,07:45,1.55149,1.55158,1.55146,1.55148,195
2015.08.07,07:50,1.55146,1.55151,1.55139,1.55143,164
2015.08.07,07:55,1.55141,1.55167,1.55122,1.55167,221
2015.08.07,08:00,1.55172,1.55179,1.55122,1.55126,383
2015.08.07,08:05,1.55126,1.55142,1.55104,1.55106,351
2015.08.07,08:10,1.55105,1.55120,1.55102,1.55104,257
2015.08.07,08:15,1.55104,1.55104,1.55082,1.55095,244
2015.08.07,08:20,1.55096,1.55106,1.55073,1.55086,218
2015.08.07,08:25,1.55084,1.55096,1.55071,1.55094,261
2015.08.07,08:30,1.55096,1.55149,1.55083,1.55131,348
2015.08.07,08:35,1.55135,1.55137,1.55091,1.55092,251
2015.08.07,08:40,1.55094,1.55094,1.55020,1.55026,364
2015.08.07,08:45,1.55025,1.55058,1.54988,1.55049,352
2015.08.07,08:50,1.55049,1.55054,1.54994,1.55028,227
2015.08.07,08:55,1.55028,1.55065,1.55011,1.55016,264
2015.08.07,09:00,1.55018,1.55047,1.54929,1.55047,525
2015.08.07,09:05,1.55043,1.55049,1.54959,1.54968,370
2015.08.07,09:10,1.54968,1.54999,1.54883,1.54986,445
2015.08.07,09:15,1.54985,1.54997,1.54936,1.54952,310
2015.08.07,09:20,1.54952,1.54981,1.54870,1.54899,660
2015.08.07,09:25,1.54898,1.55019,1.54898,1.55015,525
2015.08.07,09:30,1.55016,1.55063,1.54992,1.54995,692
2015.08.07,09:35,1.54995,1.55019,1.54940,1.55015,419
2015.08.07,09:40,1.55016,1.55017,1.54929,1.54932,502
2015.08.07,09:45,1.54932,1.54962,1.54926,1.54945,481
2015.08.07,09:50,1.54945,1.55012,1.54940,1.54976,455
2015.08.07,09:55,1.54981,1.55028,1.54965,1.55001,557
2015.08.07,10:00,1.55002,1.55030,1.54945,1.54975,522
2015.08.07,10:05,1.54975,1.55022,1.54947,1.55003,457
2015.08.07,10:10,1.55008,1.55039,1.54958,1.54982,435
2015.08.07,10:15,1.54984,1.55059,1.54981,1.55050,390
2015.08.07,10:20,1.55052,1.55089,1.55046,1.55089,489
2015.08.07,10:25,1.55086,1.55119,1.55044,1.55044,522
2015.08.07,10:30,1.55035,1.55101,1.55032,1.55096,494
2015.08.07,10:35,1.55095,1.55154,1.55094,1.55134,408
2015.08.07,10:40,1.55135,1.55137,1.55067,1.55115,337
2015.08.07,10:45,1.55114,1.55186,1.55077,1.55184,558
2015.08.07,10:50,1.55184,1.55254,1.55173,1.55181,516
2015.08.07,10:55,1.55182,1.55244,1.55133,1.55230,449
2015.08.07,11:00,1.55228,1.55258,1.55189,1.55236,486
2015.08.07,11:05,1.55237,1.55258,1.55213,1.55225,347
2015.08.07,11:10,1.55226,1.55269,1.55213,1.55266,529
2015.08.07,11:15,1.55265,1.55284,1.55225,1.55255,483
2015.08.07,11:20,1.55254,1.55276,1.55225,1.55258,413
2015.08.07,11:25,1.55258,1.55275,1.55239,1.55247,490
2015.08.07,11:30,1.55246,1.55267,1.55214,1.55225,477
2015.08.07,11:35,1.55218,1.55238,1.55175,1.55178,429
2015.08.07,11:40,1.55175,1.55227,1.55141,1.55206,430
2015.08.07,11:45,1.55206,1.55243,1.55206,1.55220,428
2015.08.07,11:50,1.55218,1.55249,1.55207,1.55240,299
2015.08.07,11:55,1.55237,1.55238,1.55172,1.55174,340
2015.08.07,12:00,1.55173,1.55203,1.55144,1.55168,461
2015.08.07,12:05,1.55169,1.55213,1.55161,1.55161,432
2015.08.07,12:10,1.55162,1.55162,1.55103,1.55113,338
2015.08.07,12:15,1.55111,1.55140,1.55091,1.55117,411
2015.08.07,12:20,1.55114,1.55130,1.55095,1.55115,292
2015.08.07,12:25,1.55116,1.55131,1.55106,1.55113,399
2015.08.07,12:30,1.55113,1.55177,1.55112,1.55128,453
2015.08.07,12:35,1.55128,1.55158,1.55123,1.55136,456
2015.08.07,12:40,1.55136,1.55209,1.55132,1.55201,306
2015.08.07,12:45,1.55201,1.55201,1.55160,1.55179,269
2015.08.07,12:50,1.55176,1.55195,1.55146,1.55147,281
2015.08.07,12:55,1.55149,1.55150,1.55085,1.55085,375
2015.08.07,13:00,1.55085,1.55176,1.55082,1.55166,264
2015.08.07,13:05,1.55165,1.55190,1.55141,1.55164,300
2015.08.07,13:10,1.55164,1.55189,1.55156,1.55180,264
2015.08.07,13:15,1.55181,1.55262,1.55181,1.55250,405
2015.08.07,13:20,1.55250,1.55253,1.55206,1.55210,332
2015.08.07,13:25,1.55211,1.55235,1.55185,1.55186,260
2015.08.07,13:30,1.55186,1.55224,1.55156,1.55202,364
2015.08.07,13:35,1.55202,1.55243,1.55174,1.55231,342
2015.08.07,13:40,1.55231,1.55235,1.55176,1.55217,393
2015.08.07,13:45,1.55218,1.55238,1.55188,1.55234,424
2015.08.07,13:50,1.55236,1.55244,1.55195,1.55196,163
2015.08.07,13:55,1.55196,1.55215,1.55152,1.55154,298
2015.08.07,14:00,1.55153,1.55166,1.55112,1.55163,300
2015.08.07,14:05,1.55164,1.55165,1.55115,1.55150,274
2015.08.07,14:10,1.55146,1.55189,1.55125,1.55157,418
2015.08.07,14:15,1.55157,1.55167,1.55104,1.55167,483
2015.08.07,14:20,1.55170,1.55170,1.55076,1.55105,433
2015.08.07,14:25,1.55104,1.55440,1.55055,1.55299,774
2015.08.07,14:30,1.55295,1.55380,1.54742,1.54776,1273
2015.08.07,14:35,1.54781,1.54951,1.54744,1.54941,1260
2015.08.07,14:40,1.54939,1.55088,1.54871,1.54918,1175
2015.08.07,14:45,1.54923,1.54981,1.54845,1.54877,1014
2015.08.07,14:50,1.54882,1.54979,1.54877,1.54902,977
2015.08.07,14:55,1.54900,1.54904,1.54722,1.54729,1108
2015.08.07,15:00,1.54734,1.54848,1.54728,1.54743,904
2015.08.07,15:05,1.54741,1.54831,1.54717,1.54782,805
2015.08.07,15:10,1.54782,1.54825,1.54762,1.54793,645
2015.08.07,15:15,1.54793,1.54799,1.54526,1.54578,876
2015.08.07,15:20,1.54578,1.54718,1.54538,1.54717,834
2015.08.07,15:25,1.54719,1.54720,1.54591,1.54625,764
2015.08.07,15:30,1.54625,1.54655,1.54580,1.54590,748
2015.08.07,15:35,1.54586,1.54586,1.54381,1.54441,888
2015.08.07,15:40,1.54441,1.54480,1.54394,1.54432,645
2015.08.07,15:45,1.54430,1.54490,1.54394,1.54395,691
2015.08.07,15:50,1.54402,1.54413,1.54322,1.54376,665
